"id","programmingid","userid","submitcount","latestsubmitid"
"2732216","23216","63897","1","8369178"
"2731011","23216","64390","1","8364867"
"2736840","23216","67196","1","8384063"
"2795261","23216","73994","1","8594810"
"2728629","23216","74163","1","8356966"
"2728550","23216","74317","1","8356692"
"2744137","23216","74679","1","8410374"
"2795999","23216","77607","2","8597347"
"2733813","23216","79088","1","8374327"
"2741066","23216","79101","1","8399613"
"2731164","23216","79103","1","8365460"
"2729920","23216","79104","2","8360950"
"2728744","23216","79105","1","8357303"
"2741792","23216","79106","2","8402215"
"2743814","23216","79107","1","8409278"
"2730255","23216","79108","1","8361998"
"2732237","23216","79111","2","8369260"
"2732700","23216","79112","2","8370710"
"2729695","23216","79113","1","8360165"
"2744309","23216","79114","2","8411068"
"2732077","23216","79116","3","8368715"
"2729765","23216","79120","7","8360476"
"2734073","23216","79127","2","8375098"
"2728555","23216","79132","2","8356704"
"2729844","23216","79142","1","8360715"
"2741217","23216","79148","2","8400099"
"2745124","23216","79152","2","8414019"
"2728844","23216","79160","6","8357590"
"2743087","23216","79162","2","8406776"
"2736047","23216","79166","2","8381516"
"2738028","23216","79168","1","8387780"
"2734130","23216","79174","2","8375272"
"2731803","23216","79179","3","8367893"
"2740961","23216","79180","1","8399170"
"2729076","23216","79181","2","8358135"
"2731558","23216","79182","3","8367605"
"2728429","23216","79183","5","8355985"
"2735506","23216","79184","3","8379734"
"2735710","23216","79190","1","8380390"
"2728875","23216","79192","2","8357623"
"2736203","23216","79193","4","8382061"
"2732420","23216","79196","1","8369800"
"2740928","23216","79198","2","8399059"
"2737522","23216","79201","2","8386045"
"2728335","23216","79204","1","8355680"
"2737164","23216","79205","21","8385353"
"2737375","23216","79206","1","8385595"
"2731774","23216","79208","2","8367809"
"2740964","23216","79210","1","8399174"
"2737200","23216","79215","2","8384981"
"2732239","23216","79217","2","8382536"
"2729222","23216","79218","2","8358487"
"2736647","23216","79222","1","8383438"
"2741099","23216","79239","1","8399724"
"2735188","23216","79244","2","8378658"
"2728498","23216","79248","2","8356291"
"2731399","23216","79253","2","8366588"
"2736388","23216","79255","1","8382584"
"2742548","23216","79256","1","8404789"
"2729014","23216","79258","2","8371597"
"2735015","23216","79263","1","8377989"
"2729100","23216","79267","2","8358199"
"2732576","23216","79272","2","8370237"
"2732474","23216","79273","1","8369961"
"2739339","23216","79282","1","8393032"
"2728533","23216","79285","2","8356618"
"2735169","23216","79286","1","8378574"
"2731987","23216","79293","1","8368433"
"2740960","23216","79297","3","8399186"
"2728909","23216","79300","1","8357672"
"2738234","23216","79317","4","8388435"
"2735386","23216","79325","1","8379253"
"2737217","23216","79329","2","8385043"
"2734370","23216","79330","2","8375943"
"2738218","23216","79332","2","8388371"
"2732622","23216","79334","2","8370389"
"2743793","23216","79336","3","8409195"
"2730949","23216","79349","1","8364610"
"2729651","23216","79353","1","8360001"
"2744630","23216","79354","5","8412352"
"2732916","23216","79371","1","8371388"
"2730739","23216","79380","2","8363558"
"2741182","23216","79381","2","8399986"
"2731186","23216","79399","1","8365545"
"2742715","23216","79402","3","8405418"
"2736831","23216","79405","1","8384042"
"2730525","23216","79406","5","8362849"
"2741961","23216","79412","1","8402682"
"2732341","23216","79416","3","8413269"
"2736292","23216","79426","1","8382312"
"2728698","23216","79427","5","8357222"
"2729006","23216","79428","5","8357976"
"2732244","23216","79429","4","8369290"
"2729798","23216","79430","1","8360541"
"2737196","23216","79433","3","8384976"
